id	identifier	ring_number	type	type_control	species	date	place	sex	age	bmi	parasetimia	m_infection	m_lineage	positive_fecal_sequences	pm_2_5	pm10	so2	no2	co2	o3	faith_pd	pielou_evenness	observed_features	shannon_entropy	std_bmi
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Sp002	Sp002	B036245	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	F	2	26.05962212	0	0			13.03	34.65		27.64	0.35	84.9	1.433047322	0.414459777	11	1.433795258	-0.550331355205197
Sp004	Sp004	C001250	sample	sample	Passer domesticus	04/04/2022	IBISS, yard	F	2	29.09758168	0	0			29	34	9	36	79	79	8.689185625	0.650662894	122	4.509573613	0.969289526354184
Sp005	Sp005	B036256	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	F	2	26.77140046	0.01	1	SGS1		4.83	18.05		20.34	0.28	72.18	3.817543339	0.328696387	35	1.685976794	-0.194291978398723
Sp006	Sp006	C001245	sample	sample	Passer domesticus	04/06/2022	IBISS, yard	F	2	23.28041586	0	0			62.36	105.79	39.4	102.04	2.26		3.523190384	0.529865014	18	2.209497368	-1.94052098197447
Sp007	Sp007	B036250	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	M	2	28.28338581	0.01	1	SGS1	+	4.83	18.05		20.34	0.28	72.18	4.139824333	0.131781866	29	0.640193798	0.562019771344209
Sp008	Sp008	B036247	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	M	2	26.62692752	0.02	1		2	13.03	34.65		27.64	0.35	84.9	3.018092868	0.325466896	20	1.40664452	-0.266558936568593
Sp009	Sp009	B036252	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	F	2	26.98784644	0.01	1		1	4.83	18.05		20.34	0.28	72.18	3.882182509	0.496586558	32	2.482932789	-0.0860233117356346
Sp010	Sp010	C001246	sample	sample	Passer domesticus	04/05/2022	IBISS, yard	F	2	26.45208324	0.01	1	SGS1		25.62	40	39.08	123.31	1.76		6.647909083	0.456274459	67	2.767801565	-0.354017974011874
Sp011	Sp011	B036254	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	F	2	29.78543446	0.01	1	SGS1		4.83	18.05		20.34	0.28	72.18	3.168882311	0.272014107	20	1.175625412	1.31336107414222
Sp014	Sp014	C001243	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	F	2	25.56462357	0.03	1	GRW11	+	13.03	34.65		27.64	0.35	84.9	1.814092934	0.252818426	12	0.906344578	-0.797935089904555
Sp015	Sp015	B036243	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	M	2	23.36301367	0.02	1		1	13.03	34.65		27.64	0.35	84.9	1.05994431	0.493836307	12	1.770384642	-1.8992046463327
Sp016	Sp016	B036260	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	F	2	25.59380479	0.4	1		4	4.83	18.05		20.34	0.28	72.18	2.269113014	0.439807329	15	1.718279117	-0.78333832178254
Sp017	Sp017	B036244	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	F	2	24.69031439	0	0			13.03	34.65		27.64	0.35	84.9	9.148193684	0.44755452	110	3.035028193	-1.2352741856452
Sp018	Sp018	C001249	sample	sample	Passer domesticus	04/05/2022	IBISS, yard	M	2	30.44485052	0.01	1	SGS1		25.62	40	39.08	123.31	1.76		10.67448719	0.651699492	143	4.666084516	1.64320826092032
Sp019	Sp019	C001244	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	M	2	28.75446716	0.01	1	SGS1		13.03	34.65		27.64	0.35	84.9	3.558439769	0.350488781	32	1.752443906	0.797659858789345
Sp020	Sp020	B036242	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	M	2	28.98694618	0.03	1		3	13.03	34.65		27.64	0.35	84.9	1.755214331	0.387779451	15	1.51501189	0.913948428909896
Sp021	Sp021	B036258	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	F	2	28.06420843	0	0			4.83	18.05		20.34	0.28	72.18	3.298491306	0.433809405	25	2.014548491	0.452384828272922
Sp022	Sp022	B036248	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	M	2	28.25870049	0	0			4.83	18.05		20.34	0.28	72.18	7.932859779	0.32016216	79	2.01823206	0.549671901993382
Sp031	Sp031	B036262	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	F	2	27.37631565	0	0			4.83	18.05		20.34	0.28	72.18	3.589256533	0.412039122	27	1.959199671	0.108293272043669
Sp032	Sp032	B036261	sample	sample	Passer domesticus	04/06/2022	Kalemegdan, ZOO	M	2	28.75446716	0	0			4.83	18.05		20.34	0.28	72.18	1.960130431	0.25139229	13	0.930262014	0.797659858789345
